;;;STATUS OF FIXED PRICE PROJECTS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Month report :;;;;;februar 2016;;Drilling : 2 533 NOK/hour;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;PM;;ADD new projects at end of list !;;;;;Maritime : 3 119 NOK/hour;;;;;;;;;;;;;;;;2016 INVOICING PLAN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2016 HOURS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Open;Einar;DP;MODU;Songa Cat D BN3031/3034;220126901/03; 5095 Songa Cat D BN3034 ;;FCST/Prognose ;3.696;2,199 ;595 ;(561);0;(561);1,638 ;74.5 %;;;;30-50-10-10;FCST Invoices;0 ;440 ;;;;220 ;220 ;;;;;;;;;;;;;;;;;;;;;;;;;ACTUAL & FCST;595 ;381 ;215 ;0 ;0 ;0 ;0 ;0 ;0 ;0.0;3 ;595 ;381 ;3 ;2 ;50 ;140 ;10 ;10 ;;;;;;;;;;;;;;;;;;;;;;;;;0
Including integration;;Open;Einar;DP;MODU;;;;;ACTUAL;4 ;1,450 ;386 ;(370);0;(370);1,079 ;74.5 %;66%;1,759 ;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Var vs BUD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;;Open;Einar;DP;MODU;;;;;Rest;;750 ;209 ;(191);0;(191);559 ;;;440 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;;;#REF!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;;Open;Einar;PMS;MODU;;;;;BUDGET/Planlegging;7.011;5,202 ;742 ;(623);0;(623);4,579 ;88.0 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BUDGET;;;;;;;;;;0.0;;0 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;;Open;Einar;PMS;MODU;Songa Cat D BN3031/3034;220127401; 6056 Songa Cat D BN3034 ;;FCST/Prognose ;3.505;2,601 ;742 ;(701);0;(701);1,900 ;73.0 %;;;;30-50-10-10;FCST Invoices;0 ;520 ;;;;260 ;260 ;;;;;;;;;;;;;;;;;;;;;;;;;ACTUAL & FCST;742 ;522 ;220 ;0 ;0 ;0 ;0 ;0 ;0 ;0.0;3 ;742 ;522 ;9 ;1 ;50 ;160 ;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;0
;;Open;Einar;PMS;MODU;;;;;ACTUAL;3.556;1,897 ;532 ;(505);(6);(511);1,386 ;73.0 %;72.9 %;2,081 ;80%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Var vs BUD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;;Open;Einar;PMS;MODU;;;;;Rest;;704 ;211 ;(196);6;(190);514 ;;;520 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;;;Einar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;;Open;Petar;MPD;MODU;;;;;BUDGET/Planlegging;1.500;3,600 ;2,247 ;(1,755);(210);(1,965);1,635 ;45.4 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BUDGET;;;;;;;;;;0.0;;0 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
